sense	source_Danish	source_Dutch	source_Elfdalian	source_English	source_Frisian	source_German	source_Hindi	source_Spanish	source_Swedish	gold_Danish	gold_Dutch	gold_Elfdalian	gold_English	gold_Frisian	gold_German	gold_Hindi	gold_Spanish	gold_Swedish	precision	recall	fscore
CUT	2	2	2	3	2	2	5	3	2	492	1539	1578	1631	1539	1539	275	375	492	0.48148148148148145	1.0	0.65
DAY	1	1	1	1	1	1	1	1	1	15	15	15	15	15	15	295	295	15	0.6543209876543209	1.0	0.7910447761194029
DIE	1	0	2	1	3	3	5	5	1	822	0	822	1632	1699	1699	296	296	822	0.8333333333333333	0.8333333333333333	0.8333333333333333
DIG	1	1	1	2	1	1	4	5	1	1428	1428	1428	1633	1428	1428	2360	1322	1428	1.0	1.0	1.0
DIRTY	1	2	0	3	4	5	6	1	7	1429	364	0	1634	1736	2044	1093	3460	1579	0.875	1.0	0.9333333333333333
DO	0	0	0	0	1	0	2	3	0	0	0	0	0	299	0	620	299	0	1.0	0.6666666666666666	0.8
DOG	1	1	2	3	1	1	4	5	1	300	300	1580	1635	300	300	2361	3543	300	1.0	1.0	1.0
DRINK	1	1	1	1	1	1	5	6	1	1431	1431	1431	1431	1431	1431	30	30	1431	1.0	0.8888888888888888	0.9411764705882353
DRY	1	2	6	2	2	6	7	0	6	303	1540	303	1540	1540	1540	675	0	303	0.8333333333333333	0.6458333333333333	0.7276995305164318
DUST	1	2	3	3	2	6	7	8	2	1432	1541	1581	1636	1541	1541	1001	302	1432	0.7407407407407407	0.7407407407407407	0.7407407407407407
EAR	1	4	3	4	4	4	7	8	3	33	33	33	33	33	33	621	33	33	1.0	0.4166666666666667	0.5882352941176471
EARTH	2	2	3	4	5	2	6	7	8	1433	1433	323	1433	1737	2045	2362	303	2045	0.8518518518518517	0.7407407407407407	0.7924203273040481
EAT	4	2	4	4	4	6	7	8	4	439	439	439	439	439	439	622	439	439	1.0	0.5	0.6666666666666666
EGG	1	1	1	1	2	2	4	5	1	36	36	36	1637	36	36	1002	36	36	0.8222222222222222	0.5555555555555556	0.6630824372759856
EYE	1	2	3	4	5	6	7	2	3	37	37	37	37	37	37	37	37	37	1.0	0.16049382716049385	0.2765957446808511
FALL	2	2	2	2	2	2	3	4	2	1434	1434	1434	1434	1434	1434	1094	305	1434	1.0	1.0	1.0
FAR	1	2	3	4	5	2	7	8	3	8	286	89	286	286	1506	327	4156	89	0.8888888888888888	0.7777777777777778	0.8296296296296296
FAT	1	1	1	1	1	1	2	3	1	1435	1435	1435	1435	1435	1435	1003	306	1435	1.0	1.0	1.0
FATHER	1	1	1	1	1	1	5	1	1	307	307	307	307	307	307	2363	307	307	1.0	1.0	1.0
FEAR	1	2	3	4	5	0	6	7	3	1436	1542	1582	1638	477	0	905	3832	4165	0.875	1.0	0.9333333333333333
FEATHER	4	2	0	4	4	4	6	7	4	308	308	0	308	308	308	1072	361	308	1.0	0.7916666666666667	0.8837209302325582
FIGHT	1	2	3	4	5	2	7	8	9	1437	1543	1583	1543	1543	2046	1095	1714	8	0.8888888888888888	0.7777777777777778	0.8296296296296296
FIRE	1	2	1	3	3	5	6	5	1	1438	444	1438	444	444	444	928	310	1438	0.8888888888888888	0.7222222222222222	0.7969348659003831
FISH	2	2	2	2	2	2	5	2	2	311	311	311	311	311	311	683	311	311	1.0	1.0	1.0
FIVE	1	1	1	1	1	1	2	3	1	47	47	47	47	47	47	47	47	47	1.0	0.6296296296296297	0.7727272727272727
FLOWER	3	3	3	3	3	3	3	3	3	312	312	312	1639	312	312	1005	312	312	0.6296296296296297	1.0	0.7727272727272727
FLY_N	0	0	0	0	1	0	2	3	0	0	0	0	0	1738	0	624	49	0	1.0	1.0	1.0
FLY_V	2	2	2	2	2	2	3	2	2	1417	1417	1417	1417	1417	1417	1006	313	1417	0.8055555555555556	1.0	0.8923076923076924
FOG	1	2	3	4	1	1	6	1	3	1439	585	1584	1640	1739	431	1007	431	1439	0.6111111111111112	0.8888888888888888	0.7242798353909464
FOOT	2	2	2	2	2	2	3	0	2	315	315	315	315	315	315	315	0	315	1.0	0.78125	0.8771929824561403
FOREST	1	2	2	2	5	2	7	5	9	1440	250	1585	1246	1701	250	789	316	4166	0.6111111111111112	1.0	0.7586206896551725
FOUR	1	2	1	1	3	1	4	5	1	54	54	54	54	54	54	54	54	54	1.0	0.3580246913580247	0.5272727272727273
FREEZE	2	2	3	2	2	2	4	5	2	1441	1441	1586	1441	1441	1441	1096	317	1441	1.0	1.0	1.0
FRUIT	1	0	2	2	2	2	6	2	2	55	0	55	55	55	55	1009	318	55	0.7916666666666667	0.7916666666666667	0.7916666666666667
FULL	1	1	1	0	1	1	2	3	1	56	56	56	0	56	56	5	56	56	1.0	0.7857142857142857	0.88
GIVE	1	4	3	1	4	4	4	7	4	1442	1442	1442	1442	1442	1442	57	57	1442	0.8222222222222222	0.4444444444444444	0.5769980506822612
GO	0	0	0	0	1	0	2	3	0	0	0	0	0	1443	0	626	319	0	1.0	1.0	1.0
GOOD	2	2	0	2	2	2	4	5	6	986	986	0	986	986	986	2364	320	4167	1.0	1.0	1.0
GRASS	2	2	2	2	2	2	2	3	2	1444	1444	1444	1444	1444	1444	628	321	1444	0.8055555555555556	1.0	0.8923076923076924
GREEN	2	2	2	2	2	2	3	4	2	1445	1445	1445	1445	1445	1445	687	322	1445	1.0	1.0	1.0
GRIND	0	0	0	0	1	0	2	3	0	0	0	0	0	323	0	688	323	0	1.0	0.6666666666666666	0.8
GUTS	3	3	2	3	3	5	3	0	3	1446	1446	1587	1642	1740	2047	324	0	1446	0.5	1.0	0.6666666666666666
HAIR	1	1	1	1	1	0	4	5	1	963	963	963	963	963	0	1098	1714	963	1.0	1.0	1.0
HAND	1	1	2	1	1	1	1	1	1	1447	1447	1588	1447	1447	1447	65	326	1447	0.6388888888888888	1.0	0.7796610169491525
HARD	0	0	0	0	1	0	2	3	0	0	0	0	0	275	0	1099	327	0	1.0	1.0	1.0
HEAD	1	1	2	1	1	4	5	6	7	328	328	1589	328	328	2049	66	328	328	1.0	0.6666666666666666	0.8
HEAR	3	3	3	3	3	3	6	7	3	1448	1448	1448	1448	1448	1448	460	329	1448	1.0	1.0	1.0
HEART	2	2	2	2	2	2	6	7	2	330	330	330	330	330	330	875	330	330	1.0	0.8055555555555556	0.8923076923076924
HEAVY	1	2	3	4	6	6	7	8	6	941	1544	941	1643	1544	1544	5	1328	1544	1.0	0.7222222222222222	0.8387096774193548
HERE	2	2	2	2	2	2	6	7	2	462	462	462	462	462	462	693	8	462	1.0	1.0	1.0
HIDE	0	0	0	0	1	0	2	3	0	0	0	0	0	1741	0	1100	299	0	1.0	1.0	1.0
HIT	1	2	1	3	1	4	2	6	1	1437	390	1437	1645	1437	1453	2365	294	1437	0.8888888888888888	1.0	0.9411764705882353
HORN	1	1	2	0	3	1	4	3	1	66	66	66	0	66	66	66	66	66	1.0	0.34375	0.5116279069767442
HOT	1	1	1	0	1	1	2	3	1	45	45	45	0	45	45	632	333	45	1.0	1.0	1.0
HOUSE	0	0	0	0	1	0	2	3	0	0	0	0	0	1450	0	2366	1331	0	1.0	1.0	1.0
HOW	1	6	6	6	6	6	7	8	6	74	74	74	74	74	74	74	74	74	1.0	0.48148148148148145	0.65
HUNT	2	2	2	3	2	2	4	5	2	1451	1546	1451	1647	1546	1546	1015	334	4168	0.5925925925925926	1.0	0.7441860465116279
I	1	2	2	4	2	2	7	1	1	76	76	76	76	76	76	635	76	76	1.0	0.4722222222222222	0.6415094339622641
ICE	1	1	1	1	1	1	2	3	1	1452	1452	1452	1452	1452	1452	1016	317	1452	1.0	1.0	1.0
KILL	3	2	3	4	5	2	7	8	3	1453	1437	1591	1648	822	822	296	1332	1453	0.7407407407407408	0.8888888888888888	0.8080808080808081
KNEE	1	1	1	1	1	1	2	3	1	79	79	79	79	79	79	1101	365	79	1.0	1.0	1.0
KNOW	3	3	3	4	3	3	6	7	3	372	372	372	638	372	372	638	337	372	1.0	0.8888888888888888	0.9411764705882353
LAKE	1	2	1	2	0	2	5	6	1	1454	371	1454	1649	0	1454	2367	219	1454	0.75	0.8125	0.78
LAUGH	2	2	3	2	2	2	6	7	8	1455	1455	1592	1455	1455	1455	1018	338	4169	1.0	1.0	1.0
LEAF	2	2	2	2	2	2	5	6	2	312	312	1593	1593	312	312	308	339	312	0.6825396825396826	1.0	0.8113207547169812
LEFT	4	4	4	4	4	4	7	8	4	1456	1547	1456	1650	1547	1547	639	3462	1456	0.5238095238095238	1.0	0.6875000000000001
LEG	1	1	0	2	3	1	2	1	1	1422	1422	0	1651	315	1422	2368	3545	1422	0.675	1.0	0.8059701492537313
LIE	2	2	2	4	2	2	2	0	2	950	950	950	950	950	950	1104	0	950	0.7857142857142857	0.7857142857142857	0.7857142857142857
LIVE	1	2	3	3	3	3	7	8	3	1155	1548	1595	1595	1595	1595	343	343	1595	1.0	0.8888888888888888	0.9411764705882353
LIVER	1	1	1	1	1	1	1	4	1	1457	1457	1457	1457	1457	1457	1105	344	1457	0.8055555555555556	1.0	0.8923076923076924
LONG	1	1	1	1	1	1	2	1	1	89	89	89	89	89	89	1020	1333	89	0.8055555555555556	1.0	0.8923076923076924
LOUSE	1	1	1	1	1	1	2	3	1	1200	1200	1200	1200	1200	1200	642	345	1200	1.0	1.0	1.0
MAN	1	1	1	1	1	1	3	4	1	1458	1458	177	1458	1458	1458	8	34	177	0.6825396825396826	1.0	0.8113207547169812
MEAT	1	3	0	3	3	3	3	7	8	1459	1549	0	1180	1742	1549	92	346	1459	0.55	0.875	0.6754385964912282
MOON	1	1	2	0	1	0	3	1	1	706	706	1597	0	706	0	93	347	706	0.7714285714285715	1.0	0.870967741935484
MOTHER	3	3	3	3	3	3	3	3	3	348	348	348	348	1743	348	2369	348	348	0.6296296296296297	1.0	0.7727272727272727
MOUNTAIN	2	2	2	4	2	2	7	8	2	378	1520	1520	1652	1520	1520	644	326	378	0.7037037037037037	1.0	0.8260869565217391
MOUTH	1	1	1	1	2	1	1	3	1	1460	1460	1460	1460	1744	1460	645	349	1460	0.8095238095238095	1.0	0.8947368421052632
NAIL	1	1	1	1	1	1	1	2	1	288	288	288	288	288	288	1107	288	288	0.8055555555555556	0.8055555555555556	0.8055555555555556
NAME	2	2	2	2	2	2	2	2	2	227	227	227	227	227	227	227	227	227	1.0	1.0	1.0
NARROW	1	2	3	4	1	1	3	0	1	1461	8	1598	1653	1461	477	2370	0	1461	0.6875	1.0	0.8148148148148148
NAVEL	0	0	0	0	1	0	2	2	0	0	0	0	0	351	0	1024	351	0	0.6666666666666666	0.6666666666666666	0.6666666666666666
NEAR	3	2	3	3	3	3	6	0	3	1462	1462	1462	1462	1702	2050	1110	0	2050	0.5416666666666666	0.8125	0.65
NECK	1	2	0	2	4	2	6	7	4	1463	1463	0	1463	353	1463	2371	353	353	1.0	0.6458333333333333	0.7848101265822784
NEW	1	1	1	1	1	1	2	3	1	354	354	354	354	354	354	354	354	354	1.0	0.6296296296296297	0.7727272727272727
NIGHT	2	2	2	2	2	2	2	5	2	103	103	103	103	103	103	1027	103	103	0.8055555555555556	0.8055555555555556	0.8055555555555556
NOSE	1	1	1	1	1	1	1	5	1	355	355	1599	355	355	355	355	355	355	0.8055555555555556	0.8055555555555556	0.8055555555555556
NOT	1	2	2	2	2	2	2	2	2	1464	229	1464	229	229	229	229	229	1464	0.6666666666666666	0.8518518518518519	0.7479674796747967
OLD	1	3	1	3	3	3	6	7	1	1465	1550	1465	1550	1550	1550	2372	179	1465	1.0	1.0	1.0
ONE	1	1	1	1	1	1	1	1	1	356	356	356	356	356	356	356	356	356	1.0	1.0	1.0
PERSON	0	2	2	2	2	2	2	5	6	0	357	1466	357	1458	1458	1111	34	357	0.4583333333333333	0.8333333333333333	0.5913978494623656
PLAY	4	4	4	4	4	4	4	7	4	1467	1551	1467	1654	8	1551	647	358	1467	0.3333333333333333	1.0	0.5
PULL	3	2	3	4	2	2	7	8	3	1468	1552	1468	1655	1552	1150	1112	8	1468	0.8518518518518517	1.0	0.92
PUSH	1	2	3	4	5	0	6	7	0	1469	1553	1600	1656	1745	0	1113	384	0	1.0	1.0	1.0
RAIN	1	1	1	1	1	0	5	6	1	1470	1470	1470	1470	1470	0	2373	361	1470	1.0	1.0	1.0
RED	2	2	2	2	2	2	7	2	2	362	362	362	362	362	362	1031	362	362	1.0	1.0	1.0
RIGHT	4	4	4	4	4	4	7	8	4	1471	390	1471	390	390	390	232	390	1471	0.6190476190476191	0.8222222222222223	0.7063142437591777
RIVER	1	4	3	4	4	0	4	4	8	1472	1554	1472	1554	1554	0	649	959	409	0.65	0.875	0.7459016393442623
ROOT	1	2	3	3	2	2	3	8	3	115	115	115	1657	115	115	2374	115	115	0.7222222222222222	0.46031746031746024	0.5622669649515287
ROTTEN	3	3	3	3	3	5	6	7	3	1473	1555	1601	1658	1473	364	305	364	4170	0.48148148148148145	0.8888888888888888	0.6246246246246246
ROUND	1	1	0	1	1	1	3	1	1	1474	1474	0	1474	1474	1474	1033	365	1474	0.7857142857142857	1.0	0.88
RUN	0	0	0	0	1	0	2	3	0	0	0	0	0	1746	0	1034	366	0	1.0	1.0	1.0
SALT	2	2	2	2	2	2	5	2	2	367	367	367	367	367	367	1115	367	367	1.0	1.0	1.0
SAND	1	1	1	1	1	1	1	3	1	1476	1476	1476	1476	1476	1476	1036	2480	1476	0.8055555555555556	1.0	0.8923076923076924
SAY	1	2	3	1	4	2	6	7	3	1477	1477	1477	1477	1477	1477	1037	369	1477	1.0	0.42857142857142855	0.6
SCRATCH	1	2	3	4	3	4	7	8	0	1478	1556	1424	1659	1424	1659	630	3547	0	1.0	1.0	1.0
SEA	2	2	0	2	2	2	4	4	2	1454	1454	0	1454	1454	1454	1039	371	334	0.6666666666666667	1.0	0.8
SEE	2	2	2	2	2	2	2	2	2	1479	1479	1479	1479	1479	2052	652	372	2052	0.3827160493827161	1.0	0.5535714285714286
SEED	1	2	0	3	3	0	3	3	1	1480	251	0	251	251	0	1040	251	1480	0.7857142857142857	0.7857142857142857	0.7857142857142857
SEW	3	2	3	3	2	2	3	6	3	373	1230	373	373	1230	1230	373	373	373	1.0	0.8148148148148148	0.8979591836734693
SHADOW	0	0	0	0	1	0	2	3	0	0	0	0	0	1220	0	1041	374	0	1.0	1.0	1.0
SHARP	3	3	3	3	3	3	6	7	3	1482	1482	1603	1482	1482	1482	1117	8	1482	0.8095238095238095	1.0	0.8947368421052632
SHORT	1	2	3	2	2	2	7	2	2	1483	1557	1604	1660	1557	2054	1046	375	4172	0.48148148148148157	1.0	0.65
SING	1	1	2	1	1	1	3	4	1	1484	1484	1605	1484	1484	1484	720	376	1484	1.0	1.0	1.0
SIT	3	3	3	3	3	3	6	3	3	377	377	377	377	377	377	1118	377	377	1.0	1.0	1.0
SKIN	1	1	2	2	1	1	4	4	2	1485	1485	1606	1661	1485	1485	2375	378	1606	0.7407407407407408	1.0	0.851063829787234
SKY	1	2	1	3	2	1	3	6	7	1486	1558	1486	1662	1558	1486	653	379	4163	0.8888888888888888	1.0	0.9411764705882353
SLEEP	5	5	5	5	5	5	5	6	5	502	1559	502	1559	1559	1559	502	380	502	0.5555555555555556	1.0	0.7142857142857143
SMALL	1	3	3	1	3	3	6	7	3	1487	1560	1607	1461	1607	1560	1046	3548	1607	0.6222222222222222	1.0	0.7671232876712328
SMELL	1	2	1	3	2	2	6	7	1	1488	1561	1558	1663	1561	1561	1047	504	4173	0.7777777777777777	1.0	0.8749999999999999
SMOKE	1	2	2	4	2	2	7	8	2	1489	1489	1489	1664	1489	1489	383	383	1489	1.0	0.7037037037037037	0.8260869565217391
SMOOTH	1	2	1	3	1	1	4	5	1	1490	968	1608	1665	968	968	1120	1339	1490	0.6444444444444444	0.8518518518518517	0.7337733773377337
SNAKE	1	1	2	1	1	1	1	0	2	1491	1562	417	1491	1562	1562	138	0	417	0.5416666666666667	1.0	0.7027027027027027
SNOW	1	1	1	1	1	1	2	3	1	385	385	385	385	385	385	625	385	385	1.0	0.8055555555555556	0.8923076923076924
SPIT	2	2	2	2	2	0	4	2	2	242	242	242	242	242	0	1049	242	242	1.0	1.0	1.0
STAND	1	2	2	2	2	2	7	2	2	69	69	69	69	69	69	2376	315	69	0.8095238095238094	0.8095238095238095	0.8095238095238093
STAR	1	2	2	2	2	2	7	2	9	387	387	387	387	387	387	387	387	387	1.0	0.48148148148148134	0.6499999999999998
STICK	1	3	3	3	3	3	7	8	9	1492	1563	1609	1563	1563	1563	654	1340	8	0.8222222222222223	1.0	0.9024390243902439
STONE	1	1	1	1	1	1	4	5	1	1493	1493	1493	1493	1493	1493	655	389	1493	1.0	1.0	1.0
STRAIGHT	0	3	3	3	3	3	4	3	3	0	390	390	1666	390	2037	488	390	390	0.6071428571428571	1.0	0.7555555555555554
SUN	2	2	2	2	2	2	2	2	2	391	391	391	391	391	391	391	391	391	1.0	1.0	1.0
SWEET	0	0	0	0	1	0	2	3	0	0	0	0	0	1494	0	1052	392	0	1.0	1.0	1.0
SWELL	3	3	3	3	3	3	3	4	3	1495	1495	1495	1495	1495	1495	656	283	1495	0.8055555555555556	1.0	0.8923076923076924
SWIM	2	2	2	2	2	2	3	4	2	1496	1496	1496	1496	1496	1496	1053	393	1496	1.0	1.0	1.0
TAIL	1	2	3	4	2	2	7	0	2	1497	1497	1610	1667	1497	2038	1123	0	8	0.6875	0.8333333333333333	0.7534246575342466
TAKE	0	0	0	0	1	0	2	3	0	0	0	0	0	1379	0	1124	3334	0	1.0	1.0	1.0
THAT	1	1	2	3	3	0	5	6	0	151	151	151	151	151	0	1125	151	0	1.0	0.38095238095238093	0.5517241379310345
THERE	2	2	2	2	2	0	3	0	2	152	152	152	152	152	0	731	0	152	1.0	1.0	1.0
THEY	2	2	2	2	2	2	5	6	2	153	153	153	1669	1747	153	1126	397	153	0.6507936507936507	1.0	0.7884615384615384
THICK	1	2	0	2	2	2	6	0	2	1240	1240	0	1240	1240	1240	1056	0	1240	1.0	0.7619047619047619	0.8648648648648648
THIGH	0	0	0	0	1	0	2	3	0	0	0	0	0	1748	0	1127	4159	0	1.0	1.0	1.0
THIN	1	1	0	1	1	1	4	5	1	977	977	0	977	977	977	1108	4160	977	1.0	1.0	1.0
THINK	4	4	4	4	4	4	6	7	4	1500	1565	1500	1565	1565	1565	1128	1328	1500	0.6190476190476191	1.0	0.7647058823529412
THIS	1	1	2	3	1	0	4	5	0	153	153	153	153	153	0	733	8	0	1.0	0.5999999999999999	0.7499999999999999
THREE	1	2	2	2	2	2	2	2	2	157	157	157	157	157	157	157	157	157	1.0	0.802469135802469	0.8904109589041095
THROW	2	2	3	4	2	2	3	7	3	1501	1566	1612	1570	1566	1703	1129	1335	1503	0.4999999999999999	1.0	0.6666666666666665
TIE	1	2	3	4	1	1	1	4	3	79	1567	79	1670	627	627	627	208	4174	0.6111111111111112	0.8888888888888888	0.7242798353909464
TONGUE	1	1	1	1	4	1	5	6	1	402	402	402	402	8	402	402	402	402	1.0	0.6388888888888888	0.7796610169491525
TOOTH	2	2	2	2	2	2	2	2	2	403	403	403	403	403	403	403	403	403	1.0	1.0	1.0
TREE	1	2	3	3	2	2	7	8	3	248	1568	248	248	1568	2055	1130	404	248	0.8518518518518517	0.8333333333333334	0.8424908424908425
TRUE	1	2	2	2	5	0	6	2	2	390	1569	390	390	405	0	2377	1343	390	0.6499999999999999	0.8125	0.7222222222222222
TURN	4	4	0	2	4	4	5	6	4	1502	1570	0	1671	1570	1612	2378	1344	1612	0.6	1.0	0.7499999999999999
TWO	1	1	1	1	1	1	1	1	1	165	165	165	165	165	165	165	165	165	1.0	1.0	1.0
VOMIT	1	2	2	2	2	0	6	7	0	1503	242	242	1672	242	0	1132	407	0	0.7857142857142857	1.0	0.88
WALK	3	2	3	3	4	0	5	6	3	1504	1475	1504	1673	959	0	2379	1760	1504	0.8125	1.0	0.896551724137931
WASH	1	1	2	3	1	1	4	5	1	1505	1571	1613	1571	1571	1571	660	148	2069	0.6888888888888889	0.8333333333333334	0.7542579075425792
WATER	3	3	3	3	3	3	3	3	3	168	168	168	168	168	168	30	409	168	0.6296296296296297	1.0	0.7727272727272727
WE	2	2	3	2	2	2	4	5	2	169	169	169	169	169	169	169	169	169	1.0	0.48148148148148145	0.65
WET	5	5	3	5	5	5	7	8	5	168	1572	1614	168	168	1572	1064	410	168	0.7037037037037037	1.0	0.8260869565217391
WHAT	2	2	2	2	2	2	5	5	7	171	171	171	171	171	171	171	171	171	1.0	0.5061728395061729	0.6721311475409836
WHEN	1	3	3	3	3	3	7	3	3	172	172	172	172	172	172	172	172	172	1.0	0.6296296296296297	0.7727272727272727
WHERE	2	2	2	2	2	2	6	7	2	172	172	172	172	1749	172	172	172	172	0.8095238095238095	0.6388888888888888	0.7141552511415525
WHITE	2	2	2	2	2	2	5	6	2	900	900	900	900	900	900	2380	411	900	1.0	1.0	1.0
WHO	4	2	3	4	4	4	3	7	4	171	171	1615	171	171	171	171	171	171	0.8888888888888888	0.5	0.64
WIDE	1	2	3	0	4	4	6	7	4	1506	1506	1506	0	1674	1674	1066	1347	1674	1.0	0.75	0.8571428571428571
WIND	2	2	2	2	2	2	3	2	2	413	413	283	413	413	413	1067	413	413	0.8055555555555556	1.0	0.8923076923076924
WING	2	2	2	2	4	2	6	2	2	1507	1417	1507	1675	1750	1417	1072	414	4175	0.3968253968253968	1.0	0.5681818181818182
WITH	1	1	1	1	1	1	1	1	4	176	176	176	1676	176	176	482	1254	176	0.5	0.8148148148148149	0.619718309859155
WOMAN	1	2	0	3	4	2	6	7	8	1508	1573	0	1677	1573	1573	663	1410	527	1.0	0.8333333333333333	0.9090909090909091
WORM	1	2	0	2	2	2	6	7	8	417	417	0	417	417	417	1136	3551	1616	1.0	0.8	0.888888888888889
YEAR	1	2	2	2	2	2	7	2	2	1509	1509	1509	1509	1509	1509	2381	418	1509	0.8095238095238094	0.8095238095238095	0.8095238095238093
YELLOW	2	2	2	2	2	2	2	4	2	687	687	687	687	687	687	1138	280	687	0.8055555555555556	1.0	0.8923076923076924
YESTERDAY	0	0	0	0	1	0	2	3	0	0	0	0	0	65	0	1069	65	0	1.0	0.6666666666666666	0.8
YOU_PL.	1	2	3	1	4	1	5	6	1	181	181	181	181	181	181	2382	181	181	1.0	0.3888888888888889	0.56
YOU_SG.	1	2	1	3	1	1	1	1	1	182	181	182	182	182	182	182	182	182	1.0	0.8055555555555556	0.8923076923076924
