sense	source_Danish	source_Dutch	source_Elfdalian	source_English	source_Frisian	source_German	source_Hindi	source_Spanish	source_Swedish	gold_Danish	gold_Dutch	gold_Elfdalian	gold_English	gold_Frisian	gold_German	gold_Hindi	gold_Spanish	gold_Swedish	precision	recall	fscore
COUNT	1	5	5	4	1	1	5	6	5	1426	1537	1576	1629	1426	1426	999	292	4164	0.6666666666666666	1.0	0.8
CRY	0	0	0	0	1	0	1	1	0	0	0	0	0	1538	0	671	1320	0	0.3333333333333333	1.0	0.5
CUT	2	2	2	2	2	2	3	4	2	492	1539	1578	1631	1539	1539	275	375	492	0.46031746031746035	1.0	0.6304347826086957
DAY	1	1	1	1	1	1	1	1	1	15	15	15	15	15	15	295	295	15	0.6543209876543209	1.0	0.7910447761194029
DIE	1	0	1	1	2	2	4	5	1	822	0	822	1632	1699	1699	296	296	822	0.8125	0.875	0.8425925925925926
DIG	1	1	1	2	1	1	1	1	1	1428	1428	1428	1633	1428	1428	2360	1322	1428	0.6388888888888888	1.0	0.7796610169491525
DIRTY	1	2	0	3	4	5	6	5	8	1429	364	0	1634	1736	2044	1093	3460	1579	0.875	1.0	0.9333333333333333
DO	0	0	0	0	1	0	2	3	0	0	0	0	0	299	0	620	299	0	1.0	0.6666666666666666	0.8
DOG	1	1	2	3	1	1	4	5	1	300	300	1580	1635	300	300	2361	3543	300	1.0	1.0	1.0
DRINK	2	2	2	2	2	2	6	7	2	1431	1431	1431	1431	1431	1431	30	30	1431	1.0	0.8888888888888888	0.9411764705882353
DRY	1	2	1	2	2	2	6	0	1	303	1540	303	1540	1540	1540	675	0	303	1.0	1.0	1.0
DUST	1	1	2	3	1	1	1	4	1	1432	1541	1581	1636	1541	1541	1001	302	1432	0.5925925925925926	1.0	0.7441860465116279
EAR	1	1	1	1	1	1	2	3	1	33	33	33	33	33	33	621	33	33	1.0	0.8055555555555556	0.8923076923076924
EARTH	4	2	3	4	4	2	6	7	4	1433	1433	323	1433	1737	2045	2362	303	2045	0.6111111111111112	0.7407407407407407	0.669710806697108
EAT	1	1	1	1	1	1	2	3	1	439	439	439	439	439	439	622	439	439	1.0	0.8055555555555556	0.8923076923076924
EGG	1	1	1	1	1	1	2	3	1	36	36	36	1637	36	36	1002	36	36	0.8095238095238095	0.8095238095238094	0.8095238095238093
EYE	2	2	2	2	2	2	2	2	2	37	37	37	37	37	37	37	37	37	1.0	1.0	1.0
FALL	1	1	1	1	1	1	2	3	1	1434	1434	1434	1434	1434	1434	1094	305	1434	1.0	1.0	1.0
FAR	1	2	3	4	2	2	2	8	9	8	286	89	286	286	1506	327	4156	89	0.7222222222222222	0.7407407407407407	0.7313642756680733
FAT	1	1	1	1	1	1	2	3	1	1435	1435	1435	1435	1435	1435	1003	306	1435	1.0	1.0	1.0
FATHER	1	1	1	1	2	1	1	1	1	307	307	307	307	307	307	2363	307	307	0.8055555555555556	0.8055555555555556	0.8055555555555556
FEAR	1	2	3	1	4	0	5	6	1	1436	1542	1582	1638	477	0	905	3832	4165	0.75	1.0	0.8571428571428571
FEATHER	5	5	0	5	5	5	5	5	5	308	308	0	308	308	308	1072	361	308	0.59375	1.0	0.7450980392156863
FIGHT	1	2	3	4	5	6	7	8	9	1437	1543	1583	1543	1543	2046	1095	1714	8	1.0	0.7777777777777778	0.8750000000000001
FIRE	1	2	3	4	5	4	7	8	3	1438	444	1438	444	444	444	928	310	1438	1.0	0.5740740740740741	0.7294117647058824
FISH	1	1	1	1	1	1	2	3	1	311	311	311	311	311	311	683	311	311	1.0	0.8055555555555556	0.8923076923076924
FIVE	2	2	2	2	2	2	5	6	2	47	47	47	47	47	47	47	47	47	1.0	0.6296296296296297	0.7727272727272727
FLOWER	4	4	4	4	4	4	4	4	4	312	312	312	1639	312	312	1005	312	312	0.6296296296296297	1.0	0.7727272727272727
FLY_N	0	0	0	0	1	0	2	2	0	0	0	0	0	1738	0	624	49	0	0.6666666666666666	1.0	0.8
FLY_V	1	1	1	1	1	1	1	1	1	1417	1417	1417	1417	1417	1417	1006	313	1417	0.6296296296296297	1.0	0.7727272727272727
FOG	1	2	3	4	1	5	6	7	8	1439	585	1584	1640	1739	431	1007	431	1439	0.8888888888888888	0.7777777777777778	0.8296296296296296
FOOT	1	1	1	1	1	1	1	0	1	315	315	315	315	315	315	315	0	315	1.0	1.0	1.0
FOREST	1	2	2	2	5	6	1	5	8	1440	250	1585	1246	1701	250	789	316	4166	0.5555555555555556	0.8888888888888888	0.6837606837606838
FOUR	1	1	1	1	2	1	1	4	1	54	54	54	54	54	54	54	54	54	1.0	0.6296296296296297	0.7727272727272727
FREEZE	1	1	2	1	1	1	5	6	1	1441	1441	1586	1441	1441	1441	1096	317	1441	1.0	1.0	1.0
FRUIT	2	0	2	2	2	2	5	2	2	55	0	55	55	55	55	1009	318	55	0.7857142857142857	1.0	0.88
FULL	1	1	1	0	1	1	1	2	1	56	56	56	0	56	56	5	56	56	0.7857142857142857	0.7857142857142857	0.7857142857142857
GIVE	1	4	3	4	5	4	7	8	5	1442	1442	1442	1442	1442	1442	57	57	1442	1.0	0.34920634920634913	0.5176470588235293
GO	0	0	0	0	1	0	2	3	0	0	0	0	0	1443	0	626	319	0	1.0	1.0	1.0
GOOD	2	2	0	2	2	2	4	5	6	986	986	0	986	986	986	2364	320	4167	1.0	1.0	1.0
GRASS	1	1	1	1	1	1	1	2	1	1444	1444	1444	1444	1444	1444	628	321	1444	0.8055555555555556	1.0	0.8923076923076924
GREEN	2	2	2	2	2	2	4	5	2	1445	1445	1445	1445	1445	1445	687	322	1445	1.0	1.0	1.0
GRIND	0	0	0	0	1	0	2	3	0	0	0	0	0	323	0	688	323	0	1.0	0.6666666666666666	0.8
GUTS	1	1	2	3	1	4	3	0	1	1446	1446	1587	1642	1740	2047	324	0	1446	0.6875	1.0	0.8148148148148148
HAIR	6	6	6	6	6	0	6	6	6	963	963	963	963	963	0	1098	1714	963	0.59375	1.0	0.7450980392156863
HAND	1	1	2	1	1	1	1	3	1	1447	1447	1588	1447	1447	1447	65	326	1447	0.8095238095238094	1.0	0.8947368421052632
HARD	0	0	0	0	1	0	2	2	0	0	0	0	0	275	0	1099	327	0	0.6666666666666666	1.0	0.8
HEAD	1	1	2	1	3	4	5	6	6	328	328	1589	328	328	2049	66	328	328	1.0	0.5925925925925926	0.7441860465116279
HEAR	1	1	1	1	1	1	4	5	1	1448	1448	1448	1448	1448	1448	460	329	1448	1.0	1.0	1.0
HEART	1	1	1	1	1	1	2	3	1	330	330	330	330	330	330	875	330	330	1.0	0.8055555555555556	0.8923076923076924
HEAVY	1	2	1	3	2	2	6	7	2	941	1544	941	1643	1544	1544	5	1328	1544	1.0	1.0	1.0
HERE	1	1	1	1	1	1	1	2	1	462	462	462	462	462	462	693	8	462	0.8055555555555556	1.0	0.8923076923076924
HIDE	0	0	0	0	1	0	2	3	0	0	0	0	0	1741	0	1100	299	0	1.0	1.0	1.0
HIT	1	2	1	3	1	4	5	6	1	1437	390	1437	1645	1437	1453	2365	294	1437	1.0	1.0	1.0
HORN	3	3	3	0	3	3	4	5	3	66	66	66	0	66	66	66	66	66	1.0	0.59375	0.7450980392156863
HOT	2	2	2	0	2	2	4	5	2	45	45	45	0	45	45	632	333	45	1.0	1.0	1.0
HOUSE	0	0	0	0	1	0	2	3	0	0	0	0	0	1450	0	2366	1331	0	1.0	1.0	1.0
HOW	1	4	4	4	4	6	7	7	4	74	74	74	74	74	74	74	74	74	1.0	0.3827160493827161	0.5535714285714286
HUNT	1	1	1	2	1	1	3	4	1	1451	1546	1451	1647	1546	1546	1015	334	4168	0.5925925925925926	1.0	0.7441860465116279
I	1	2	3	4	2	3	7	8	1	76	76	76	76	76	76	635	76	76	1.0	0.3055555555555556	0.46808510638297873
ICE	1	2	2	2	1	1	5	6	1	1452	1452	1452	1452	1452	1452	1016	317	1452	1.0	0.6190476190476191	0.7647058823529412
KILL	1	2	3	4	5	1	6	7	1	1453	1437	1591	1648	822	822	296	1332	1453	0.8518518518518519	0.8888888888888888	0.8699763593380615
KNEE	1	1	1	1	2	1	3	4	1	79	79	79	79	79	79	1101	365	79	1.0	0.8095238095238095	0.8947368421052632
KNOW	1	1	1	2	1	1	3	4	1	372	372	372	638	372	372	638	337	372	1.0	0.8888888888888888	0.9411764705882353
LAKE	1	2	1	3	0	1	2	5	6	1454	371	1454	1649	0	1454	2367	219	1454	0.875	0.8125	0.8425925925925926
LAUGH	1	2	2	1	4	2	2	7	8	1455	1455	1592	1455	1455	1455	1018	338	4169	0.7222222222222222	0.6444444444444445	0.6811201445347786
LEAF	1	1	2	2	1	1	4	5	1	312	312	1593	1593	312	312	308	339	312	1.0	1.0	1.0
LEFT	3	2	3	4	2	2	7	8	3	1456	1547	1456	1650	1547	1547	639	3462	1456	1.0	1.0	1.0
LEG	1	1	0	2	3	1	2	5	1	1422	1422	0	1651	315	1422	2368	3545	1422	0.875	1.0	0.9333333333333333
LIE	1	1	1	1	1	1	2	0	1	950	950	950	950	950	950	1104	0	950	1.0	1.0	1.0
LIVE	1	2	2	2	2	2	2	8	2	1155	1548	1595	1595	1595	1595	343	343	1595	0.6507936507936507	0.8888888888888888	0.7514318442153493
LIVER	2	2	2	2	2	2	4	5	2	1457	1457	1457	1457	1457	1457	1105	344	1457	1.0	1.0	1.0
LONG	1	1	1	1	1	1	2	3	1	89	89	89	89	89	89	1020	1333	89	1.0	1.0	1.0
LOUSE	1	1	1	1	1	1	2	3	1	1200	1200	1200	1200	1200	1200	642	345	1200	1.0	1.0	1.0
MAN	1	1	2	1	1	1	3	4	2	1458	1458	177	1458	1458	1458	8	34	177	1.0	1.0	1.0
MEAT	1	2	0	1	2	2	1	6	1	1459	1549	0	1180	1742	1549	92	346	1459	0.5208333333333333	1.0	0.684931506849315
MOON	1	1	2	0	1	0	3	1	1	706	706	1597	0	706	0	93	347	706	0.7714285714285715	1.0	0.870967741935484
MOTHER	2	2	2	2	2	2	2	2	2	348	348	348	348	1743	348	2369	348	348	0.6296296296296297	1.0	0.7727272727272727
MOUNTAIN	1	2	1	3	2	2	1	3	1	378	1520	1520	1652	1520	1520	644	326	378	0.6111111111111112	0.8333333333333334	0.7051282051282051
MOUTH	3	3	3	3	3	3	3	4	3	1460	1460	1460	1460	1744	1460	645	349	1460	0.6388888888888888	1.0	0.7796610169491525
NAIL	2	2	2	2	2	2	2	4	2	288	288	288	288	288	288	1107	288	288	0.8055555555555556	0.8055555555555556	0.8055555555555556
NAME	2	2	2	2	2	2	2	7	2	227	227	227	227	227	227	227	227	227	1.0	0.802469135802469	0.8904109589041095
NARROW	1	2	3	4	1	5	6	0	1	1461	8	1598	1653	1461	477	2370	0	1461	1.0	1.0	1.0
NAVEL	0	0	0	0	1	0	1	2	0	0	0	0	0	351	0	1024	351	0	0.6666666666666666	0.6666666666666666	0.6666666666666666
NEAR	1	2	1	1	3	1	4	0	1	1462	1462	1462	1462	1702	2050	1110	0	2050	0.7	0.8125	0.7520661157024793
NECK	1	1	0	1	2	1	3	4	2	1463	1463	0	1463	353	1463	2371	353	353	1.0	0.8333333333333333	0.9090909090909091
NEW	2	2	2	2	2	2	2	5	2	354	354	354	354	354	354	354	354	354	1.0	0.802469135802469	0.8904109589041095
NIGHT	1	1	1	1	1	1	1	1	1	103	103	103	103	103	103	1027	103	103	0.802469135802469	1.0	0.8904109589041095
NOSE	1	1	1	1	1	1	1	6	1	355	355	1599	355	355	355	355	355	355	0.8055555555555556	0.8055555555555556	0.8055555555555556
NOT	1	1	1	1	1	1	1	1	1	1464	229	1464	229	229	229	229	229	1464	0.5555555555555555	1.0	0.7142857142857143
OLD	2	2	2	2	4	2	6	7	2	1465	1550	1465	1550	1550	1550	2372	179	1465	0.6666666666666666	0.8333333333333334	0.7407407407407408
ONE	1	1	1	1	1	1	3	1	1	356	356	356	356	356	356	356	356	356	1.0	0.802469135802469	0.8904109589041095
PERSON	0	1	2	1	3	4	5	6	1	0	357	1466	357	1458	1458	1111	34	357	1.0	0.875	0.9333333333333333
PLAY	1	2	1	3	4	2	6	7	1	1467	1551	1467	1654	8	1551	647	358	1467	1.0	1.0	1.0
PULL	2	2	2	3	2	2	5	2	2	1468	1552	1468	1655	1552	1150	1112	8	1468	0.46031746031746035	1.0	0.6304347826086957
PUSH	1	2	3	4	5	0	6	7	0	1469	1553	1600	1656	1745	0	1113	384	0	1.0	1.0	1.0
RAIN	1	2	3	4	4	0	6	7	4	1470	1470	1470	1470	1470	0	2373	361	1470	1.0	0.5	0.6666666666666666
RED	1	1	1	1	1	1	1	4	1	362	362	362	362	362	362	1031	362	362	0.8055555555555556	0.8055555555555556	0.8055555555555556
RIGHT	1	2	4	4	5	4	7	7	4	1471	390	1471	390	390	390	232	390	1471	0.6666666666666666	0.45185185185185195	0.5386313465783664
RIVER	1	3	3	3	3	0	6	3	8	1472	1554	1472	1554	1554	0	649	959	409	0.65	0.875	0.7459016393442623
ROOT	3	2	3	3	2	2	6	3	3	115	115	115	1657	115	115	2374	115	115	0.8222222222222222	0.6190476190476191	0.7063142437591777
ROTTEN	1	2	3	1	4	5	6	2	8	1473	1555	1601	1658	1473	364	305	364	4170	0.7777777777777778	0.7777777777777778	0.7777777777777778
ROUND	2	2	0	2	2	2	2	2	2	1474	1474	0	1474	1474	1474	1033	365	1474	0.59375	1.0	0.7450980392156863
RUN	0	0	0	0	1	0	2	3	0	0	0	0	0	1746	0	1034	366	0	1.0	1.0	1.0
SALT	1	1	1	1	1	1	2	1	1	367	367	367	367	367	367	1115	367	367	1.0	1.0	1.0
SAND	1	1	1	1	1	1	2	3	1	1476	1476	1476	1476	1476	1476	1036	2480	1476	1.0	1.0	1.0
SAY	2	2	2	2	5	2	6	7	2	1477	1477	1477	1477	1477	1477	1037	369	1477	1.0	0.8095238095238095	0.8947368421052632
SCRATCH	4	2	4	4	4	4	5	6	0	1478	1556	1424	1659	1424	1659	630	3547	0	0.6	1.0	0.7499999999999999
SEA	1	1	0	1	1	1	2	3	4	1454	1454	0	1454	1454	1454	1039	371	334	1.0	1.0	1.0
SEE	1	2	1	1	2	2	5	6	1	1479	1479	1479	1479	1479	2052	652	372	2052	0.6851851851851851	0.6222222222222222	0.6521875983632358
SEED	1	2	0	2	2	0	1	5	1	1480	251	0	251	251	0	1040	251	1480	0.8095238095238095	0.7857142857142857	0.7974413646055437
SEW	1	2	3	3	2	2	3	8	1	373	1230	373	373	1230	1230	373	373	373	1.0	0.5925925925925926	0.7441860465116279
SHADOW	0	0	0	0	1	0	2	3	0	0	0	0	0	1220	0	1041	374	0	1.0	1.0	1.0
SHARP	1	1	1	1	1	1	1	2	1	1482	1482	1603	1482	1482	1482	1117	8	1482	0.6388888888888888	1.0	0.7796610169491525
SHORT	1	1	1	1	1	1	1	1	1	1483	1557	1604	1660	1557	2054	1046	375	4172	0.1358024691358025	1.0	0.23913043478260876
SING	3	3	2	3	3	3	3	3	3	1484	1484	1605	1484	1484	1484	720	376	1484	0.6388888888888888	1.0	0.7796610169491525
SIT	1	1	1	1	1	1	1	3	1	377	377	377	377	377	377	1118	377	377	0.8055555555555556	0.8055555555555556	0.8055555555555556
SKIN	1	1	2	4	1	1	4	5	4	1485	1485	1606	1661	1485	1485	2375	378	1606	0.7777777777777777	0.8888888888888888	0.8296296296296295
SKY	1	2	1	3	2	1	5	6	7	1486	1558	1486	1662	1558	1486	653	379	4163	1.0	1.0	1.0
SLEEP	2	2	2	2	2	2	2	6	2	502	1559	502	1559	1559	1559	502	380	502	0.5555555555555556	1.0	0.7142857142857143
SMALL	1	3	3	1	3	3	3	7	3	1487	1560	1607	1461	1607	1560	1046	3548	1607	0.48148148148148145	1.0	0.65
SMELL	2	2	2	3	2	2	4	5	2	1488	1561	1558	1663	1561	1561	1047	504	4173	0.5555555555555557	1.0	0.7142857142857143
SMOKE	1	2	2	4	2	2	7	8	2	1489	1489	1489	1664	1489	1489	383	383	1489	1.0	0.7037037037037037	0.8260869565217391
SMOOTH	1	2	3	4	1	1	5	6	1	1490	968	1608	1665	968	968	1120	1339	1490	0.7777777777777778	0.8518518518518517	0.8131313131313131
SNAKE	2	2	3	4	2	2	6	0	3	1491	1562	417	1491	1562	1562	138	0	417	0.8125	0.875	0.8425925925925926
SNOW	2	2	2	2	2	2	3	4	2	385	385	385	385	385	385	625	385	385	1.0	0.8055555555555556	0.8923076923076924
SPIT	1	1	1	1	1	0	2	3	1	242	242	242	242	242	0	1049	242	242	1.0	0.7857142857142857	0.88
STAND	1	1	1	1	1	1	6	7	1	69	69	69	69	69	69	2376	315	69	1.0	1.0	1.0
STAR	2	2	2	2	2	2	4	2	5	387	387	387	387	387	387	387	387	387	1.0	0.6296296296296295	0.7727272727272727
STICK	1	2	3	2	5	2	7	8	8	1492	1563	1609	1563	1563	1563	654	1340	8	0.8888888888888888	0.8333333333333334	0.8602150537634408
STONE	1	1	1	1	1	1	2	3	1	1493	1493	1493	1493	1493	1493	655	389	1493	1.0	1.0	1.0
STRAIGHT	0	4	2	3	4	4	4	4	4	0	390	390	1666	390	2037	488	390	390	0.625	0.8	0.7017543859649122
SUN	2	2	2	2	2	2	2	2	2	391	391	391	391	391	391	391	391	391	1.0	1.0	1.0
SWEET	0	0	0	0	1	0	2	3	0	0	0	0	0	1494	0	1052	392	0	1.0	1.0	1.0
SWELL	6	6	6	6	6	6	6	7	6	1495	1495	1495	1495	1495	1495	656	283	1495	0.8055555555555556	1.0	0.8923076923076924
SWIM	1	1	1	1	1	1	3	4	1	1496	1496	1496	1496	1496	1496	1053	393	1496	1.0	1.0	1.0
TAIL	1	1	2	3	1	4	5	0	4	1497	1497	1610	1667	1497	2038	1123	0	8	0.875	1.0	0.9333333333333333
TAKE	0	0	0	0	1	0	2	3	0	0	0	0	0	1379	0	1124	3334	0	1.0	1.0	1.0
THAT	1	2	3	4	4	0	6	7	0	151	151	151	151	151	0	1125	151	0	1.0	0.3333333333333333	0.5
THERE	1	2	1	1	1	0	3	0	1	152	152	152	152	152	0	731	0	152	1.0	0.7619047619047619	0.8648648648648648
THEY	3	3	3	3	3	3	7	8	3	153	153	153	1669	1747	153	1126	397	153	0.6507936507936507	1.0	0.7884615384615384
THICK	1	1	0	1	1	1	2	0	1	1240	1240	0	1240	1240	1240	1056	0	1240	1.0	1.0	1.0
THIGH	0	0	0	0	1	0	2	3	0	0	0	0	0	1748	0	1127	4159	0	1.0	1.0	1.0
THIN	1	1	0	1	1	1	2	3	1	977	977	0	977	977	977	1108	4160	977	1.0	1.0	1.0
THINK	1	1	2	1	1	1	1	3	1	1500	1565	1500	1565	1565	1565	1128	1328	1500	0.5555555555555555	0.8518518518518519	0.6725146198830408
THIS	1	1	1	2	1	0	3	4	0	153	153	153	153	153	0	733	8	0	1.0	0.7714285714285715	0.870967741935484
THREE	1	1	1	1	2	1	3	1	1	157	157	157	157	157	157	157	157	157	1.0	0.6296296296296297	0.7727272727272727
THROW	1	2	3	4	2	6	7	8	9	1501	1566	1612	1570	1566	1703	1129	1335	1503	1.0	1.0	1.0
TIE	1	1	1	2	3	3	3	6	1	79	1567	79	1670	627	627	627	208	4174	0.7222222222222222	1.0	0.8387096774193548
TONGUE	1	1	1	1	2	1	3	4	1	402	402	402	402	8	402	402	402	402	1.0	0.6388888888888888	0.7796610169491525
TOOTH	1	1	1	1	2	1	1	1	1	403	403	403	403	403	403	403	403	403	1.0	0.802469135802469	0.8904109589041095
TREE	3	2	3	3	2	2	2	7	3	248	1568	248	248	1568	2055	1130	404	248	0.7222222222222222	1.0	0.8387096774193548
TRUE	1	1	1	1	3	0	4	5	1	390	1569	390	390	405	0	2377	1343	390	0.8	1.0	0.888888888888889
TURN	1	2	0	3	2	5	6	7	5	1502	1570	0	1671	1570	1612	2378	1344	1612	1.0	1.0	1.0
TWO	2	2	2	2	2	2	2	2	2	165	165	165	165	165	165	165	165	165	1.0	1.0	1.0
VOMIT	1	2	2	4	2	0	6	4	0	1503	242	242	1672	242	0	1132	407	0	0.8571428571428571	1.0	0.923076923076923
WALK	1	2	1	3	2	0	5	6	1	1504	1475	1504	1673	959	0	2379	1760	1504	0.875	1.0	0.9333333333333333
WASH	4	4	4	4	3	4	4	4	4	1505	1571	1613	1571	1571	1571	660	148	2069	0.3055555555555556	0.8333333333333334	0.4471544715447155
WATER	6	2	2	2	2	6	6	7	2	168	168	168	168	168	168	30	409	168	0.8518518518518517	0.6825396825396826	0.7578544061302682
WE	2	2	2	2	2	2	2	6	2	169	169	169	169	169	169	169	169	169	1.0	0.802469135802469	0.8904109589041095
WET	1	1	2	1	1	3	1	4	1	168	1572	1614	168	168	1572	1064	410	168	0.6666666666666666	0.8888888888888888	0.761904761904762
WHAT	6	6	3	6	6	6	7	8	6	171	171	171	171	171	171	171	171	171	1.0	0.48148148148148145	0.65
WHEN	1	1	2	3	1	1	4	5	2	172	172	172	172	172	172	172	172	172	1.0	0.2839506172839506	0.4423076923076923
WHERE	2	2	2	2	2	2	6	7	2	172	172	172	172	1749	172	172	172	172	0.8095238095238095	0.6388888888888888	0.7141552511415525
WHITE	1	1	1	1	1	1	4	5	1	900	900	900	900	900	900	2380	411	900	1.0	1.0	1.0
WHO	1	2	3	2	1	1	3	6	1	171	171	1615	171	171	171	171	171	171	0.8888888888888888	0.4166666666666667	0.5673758865248226
WIDE	1	2	2	0	1	1	4	4	1	1506	1506	1506	0	1674	1674	1066	1347	1674	0.6875	0.8333333333333333	0.7534246575342466
WIND	3	3	3	3	3	3	5	3	3	413	413	283	413	413	413	1067	413	413	0.8055555555555556	1.0	0.8923076923076924
WING	1	3	3	3	5	3	3	3	1	1507	1417	1507	1675	1750	1417	1072	414	4175	0.37037037037037035	0.8888888888888888	0.5228758169934641
WITH	2	2	2	2	2	2	2	2	2	176	176	176	1676	176	176	482	1254	176	0.48148148148148145	1.0	0.65
WOMAN	1	2	0	3	4	2	6	4	8	1508	1573	0	1677	1573	1573	663	1410	527	0.875	0.8333333333333333	0.8536585365853658
WORM	1	1	0	1	1	1	4	5	6	417	417	0	417	417	417	1136	3551	1616	1.0	1.0	1.0
YEAR	1	4	4	4	4	4	4	8	4	1509	1509	1509	1509	1509	1509	2381	418	1509	0.8095238095238094	0.8095238095238095	0.8095238095238093
YELLOW	1	1	1	2	1	1	3	4	1	687	687	687	687	687	687	1138	280	687	1.0	0.8095238095238095	0.8947368421052632
YESTERDAY	0	0	0	0	1	0	2	3	0	0	0	0	0	65	0	1069	65	0	1.0	0.6666666666666666	0.8
YOU_PL.	3	2	3	4	2	3	3	7	8	181	181	181	181	181	181	2382	181	181	0.8333333333333334	0.3333333333333333	0.47619047619047616
YOU_SG.	3	3	3	3	3	3	3	3	3	182	181	182	182	182	182	182	182	182	0.802469135802469	1.0	0.8904109589041095
