sense	Ambai (Yapen) [amk]	Araki [akr]	As [asz]	Bierebo (Yevali) [bnk]	Biga (Misool) [xmt]	Buli [bzq]	Futuna-Aniwa (Aniwa) [fut]	Gimán [gzn]	Irarutu [irh]	Kasira (Irahutu) [irh]	Lelepa [lpa]	Maskelynes [klv]	Minyaifuin (Gebe) [gei]	Numfor [bhw]	Paama (Lironesa) [pma]	Pulau (Arguni) [agf]	Roria [rga]	Vao [vao]	Waropen [wrp]	Windesi Wandamen [wad]
bone	ina	sui-ku	-taɔ	puru-yu	kabomo	loŋ	eiβi	momu	rur	-rure	n-fat-ŋu	na-ᵐbelasu-ᵑk	kalɔŋ	kor	si-k	tor	ðaᵑgiri-	hu-k	kori	sina
branch						maglo		kakolu	ran					snau					oa	rawan(e)
breast	ui	susu-ku	sus	yu-ᵑgu	sus	sus	nunu	pipidu	sus	-susu	na-su-ŋu	na-susu-ᵑk	sus	sus	susu	sus	susu-	huhu-k	susi	susu
child	arikaŋ	naru-ku	lɛŋke	ki-ñare-ᵑgu	wa-ka	ntu	tamasisi	nya	ntu	mo	n-karkik	na-tetal	awai	okir	natu-k	gamimi	not-mer	natu-k	tu[tu]	marareia
cloud	rarika	čočo	matɛm	mæliᵑgo	nagaŋgamɔ	mēt	pa	malukut	taje	taye	na-prou	ne-mariᵑku	miɛt	mandif	mahmah	ta...	laŋet	ᵐboᵐbor	arepa	arepa
cold	ikararutu	m̈axariri	pɛrim	manini	kabutu	mairiŋ	makaliŋi	makufin	dridn	ridənə	mlati	süsüs	mijirin	prim	ani	popʷat...	naɣaⁿdiⁿd	m̈eleɣeh	fefe	anuanum
correct, true	tarai		malɔʔ	meⁿdumeⁿdu	mɔlde	molaŋ	tamari	hatú	tü	vitue	wia	i-nœr	cu	kaku	mal keinek	marore		mo-maβoh	uda	tindia
day	aha	rani		čeŋiena	mañan	wōl	čiau	balantu	re	rere	n-alati	ne-ᵐboŋ	alwol	ras	aβoŋ	damere	ran	na-ᵐboŋ	saro	raria
dirty	rarika		lali	mi-ñemñeme	kotor		paku	lila	grmutn	fise	loa	e-ᵐbiŋbiŋal	masəlɛmɛt	fambrum	tahul	koturo		mo-lalo	werira	rariai
dog	fiawera	βiri	mɔ	kuli	ies	fun	kuli	yo	fun	funə	koria	na-lipax	kablei	naf	huli	afun	ᵐbes	βiri	una	aŋgamau
dry	sirahiai	koru	mɛ	sua	metɛn	māŋ	matu	aweik	mmua	məma	martou	i-masemas	maŋ	pnās	me-mes	mer...	ᵑgor	mo-m̈am̈ah	roro	masa
dull, blunt	rehabu		talimga		bakbuk	puŋpuŋ		tasusil	pum	pumə			kajup	dip		tumbie			kafuko	kabur
dust	ayo		gu kapyas	pulu-yeβi	kaplas	pipasā	čiafu	yipyáp	bob	ɔbə	na-mtamota		bayap	yorĕf	βulimeas	avuvune	βasɣene	ᵐbetnaɣaβ		wabu
ear	taraa-	porou-ku	tana	kilŋa-ᵑgu	nanɔ	kaño	tariŋa	tingena	tgra	-tegra-	n-talu-ŋu	ne-ⁿdariŋa-ᵑk	kahña-	kna	raliŋo-ku	etiga-	ᵐboro-	ᵐbororo-k	na[ro]rei	taradir
earth/soil	kahopa	lɛpa	guʔ	koⁿdo-tono	gagoʔ	rakrak	kere	gigyát	mifr	mifre	n-tano	nə-tan	batbat	saprop	out ne-tan	mbose	βuɣleⁿde	na-tan	ana	kakopa
egg	neibo	sile	talɔ	maᵐbuluto	tolo	tāl	fakfakamo	toli	tru	təru	n-atol	neⁿdaβurxu	les	penor	oroliatu	ude	sle-	tol-nato	koibo	ponor[i]
eye	ure-	m̈əra-ku	-kapuʔ	kono-mere-ᵑgu	taŋkabul	mta	i-mata	mto	mtie	-mətie-	na-mta-ŋu	na-meta-ᵑk	nta	mga	meta-k	taputu-	nata-	m̈ata-k	[k]ambeisi	re
far	wairoi		ilao	ᵐberina	lila	lau	popai	lou	nero	nero	amʷae		lau	biŋkwaïm	soutin	dawan			teka	woroi
fat/grease	fiabai			nčœpa		mna	kanče	gaji	mtir			ne-lal		mani			morno		mana	vionoria
father	dai	ramä-ku	-man	ka-rme-ᵑgu	mai	hmā	tata	bapa	-jie	die	mamia-ŋ	atema-ᵑk	mam	kĕma	tata	baba	ntšana-	tam̈a-k	imai	[a]yai
feather	kararoa	βulu	pərun	βiču-namenu	kanono	[mani] plu	furu	longku-longku	fru	fou	n-mʷou	na-βeru-n	gof	kum	hili-n	pupure		βulu-ne	wuro	tu[m]
fire	adia	xapu	yap	kapi	lap	yap	čiafi	lutan	fina	fina	n-kap	ne-xaᵐb	yap	for	ahaŋ	yaf	moɣoᵐbɣ	na-ɣaᵐb	sako	adia
fish	dia	m̈atˢi	dun	ika	don	ian	ika	ian	sum	some	ne-ik	na-iex	in	in	ai	sair	nantˢ salsal	na-m̈as	ado	dia[n]
flower	nebu	βira		βinasi	buŋa	saya	sene	bungan	fü	kaka		na-pesi-xai	saboko	pampen	mosan	rarare	soⁿdaɣ	βira	buŋga	ariau
fog	kafafe			mʷau				mayas	fɪ-fras	wenobə	na-soksok			afio	mahmah		loᵐbloᵐb	toltol	asi	woyow
fruit	bo	βae	nupu-	marasi	puɔ	[ai] pio	fua	bobu	fu	fo	n-watkos	na-βit-nexai	ka|pio	ai|bon	heiai	tutu	βan	βuana-neɣe	wo	buo
good	be	xolɔxɔ	fi	ᵐbo	fi	mafia	tifie	fia	dir	dire	wia	i-βoi	piceu	bye	tahos	miñan	reŋreŋ	mo-rux	roo	besyen
grass	afui		kamayu	čumʷene	kai	wati	ŋafari	bibisá	samwin	sisine	na-mnau	naliœl	kamun	abris	oumunai	ricot	ⁿduβro	na-m̈oh	sia	samuen
green	kehe		manis	memeña	bala	bisbis		biru	-mat	məmatə	mlaksa	keskesan	hijau	mandumek	ouai	sasioror	lolmor	mop̈eroɣe	kakesio	kake
hair	nu-	βulu-ku	watupis	βiču-ᵑgu	pa	uta	fiyo ouru	kiklena	rguin fru	rogwin fru	na-lol-ŋu	na-βeru-ᵑk	kaliñun	snumburaïm	hilu-ku	aru-g...	βulu-	βulu-ku	sina	runandau
hand	waraŋ	lolo-lim̈a-ku	-npa	čumo-ᵑgu	kanano	kakamo	rima	komu	fra	fra-	n-ar-ŋu	βela-ᵑk	kame	rwa	hi-k	ruma-	ⁿdisnio-	nim̈a-k	waha	vara
he/she	i	nia	ia	naŋa	num	i	eia	i	i	ia	nae	kai	ia	i	kei	i	hi	ɣini	i	andi
head	kamiai	paru-ku	-watuʔ	paru-ᵑgu	wu-	boboko	ouru	poi	rü	rogwine	n-pʷo-ŋu	ne-kaⁿdu-ᵑk	kutɔ	rwu	fatu-ku	aru-	ᵐbutu-	ᵐbatu-k	worai	ru
heavy	miraba		masɔn	wurumiu	mason	tēbtēb	mafa	batona	rimn	riməne	mtan	melas	kapiatan		meas	manaser	ᵐbiɣen	mo-roβ	maiwako	marabat
house	munu	ima		iuma	[w]um	ebay	fare	um	rum	sa-nə	na-sumʷa	a-im	um	rum	eim	rume	ðoðono	ne-ime	ruma	anio
how?	fiani			seβe	anapɛnɛ	laisawa	ropenpenapakuo	pei hapuí	fnano	bənaneno	ekua		lewa	rariso	mukaβe	surie				tane
husband	muaŋ	rua	-man	kʷo-ᵑgu	wa-man	uattā	takau	lagai	wa-	mərane	mark	asoa-n	man	swa[ri]	asu-k	[i]maran	ᵐblantamlus	tem̈e natu-k	mano	sawa(n)
if				βere		gabe	tape	co			wan			bo|ma	naman				aŋga	
in, inside	rorompu		nulum	čuma	malaman	mul	watakoro	liló	garn	gane	apʷaŋ		i-lalɔ	do	en	ramo			we	raro
intestines	enembuka		-nipu ali	sine-ᵑgu	kasaiwono	hñai walwalo	ŋʷatakoro	gale-gale	fta-ntü	-fta- teni	na-marta-ŋu	nine-ᵑk	hñainora	sne|war[si]	tino-k	sige-g umbum	tili-	tino-k	nana	sanèwai
lake	ruru					lanlan	roto	talaga	weto	sar were				dokĕn	meterumrum		tuᵐp		rawi	ruru
leaf	rerau	řaxa	a|laun	čumasi	kamɔyɔ	ulú	raune	longku	-ro	[e]ro	no-ul	na-lute	ka|mun	rām	ouai	nane	moruⁿdaɣ	ro-ɣoine	rana	rau
left	wei	lim̈a marau-ku	pa-lpɛ	mʷeli	pelimi	balit	masui	abalit	trir	trire	mauri	ni-mair	palpal|ima	sār	moil	parambimbe	nara	mair	sio	sara
leg/foot	we	sari-ku	-ŋgɛtɛ	če-ᵑgu	k|ae-	fico	wae	we	fa	fa	ne-tu-ŋu	na-rie-ᵑk	kame pap	we	hi-k tanetan	[e]va-	maⁿdi-	karu-k	e	ai
lightning	kaiveva	βaxa	lɛu	ye-ᵐbiče	balyaban	lēmlēm	teptepeia	bebit	nffe	dene	na-fla	ne-kaᵐbil	lamlɛm	wewĕr	ahil	riripipit	maymay	na-v̈ile	merewa	kabiebar
liver	anteni	mapei-ku	-nitɛw	puri-ara	aipuo	yatay	ače	yocu	ti	-te	na-lkop-ŋu	ne-maᵐb	atai	ke|n	maleles ona-k	atane	ᵐbeᵐbe-	ᵐbeᵐbeu-k	niha-do-rana	vuvusa
long	dauroi		kai	wuru-pieβi	malas	mlàŋa	palo	mlonga	mrro	mərəro	prau	e-ᵐbelaβ	malawas	kwaïn	taβeah	mbara...	ⁿdaraᵐp	mo-ᵐbaraβ	doro	aroi
louse	u|utu	huřu	u	koru	wut	ut	kutu	kut	ut	utə	kutu	na-xut	ut	uk	out	ut	ɣut	na-ɣut	ghui	[r]utu
man/male	muaŋ	řaču	-man	yœrumʷan	wa-man	mān	tane	maón	mran	məra-ne	na-nwai	nauluman	man	man	ami	mañañane	tamlus	na-mer	mano	mua[n]
meat/flesh	tarai-		nuana	kunu-ᵐbu	dagim	wàŋat	kanori	wontu	fɪ-je	fie	na-pʷas	na-βisox	waŋat	kraf	husi	dagim	βisɣon		ado	tarai
moon	embai	βitu	paiʔ	kuβario	pet	ŋa	mrama	pait	seba	seba	at-laŋ	na-xeᵐbati	pait	paik	aβati	purin	yeⁿdti	na-βule	wafa	sembai
mosquito	fikerari	moxu	gawɛʔ	namu	kamumus	mumis	namo	ninik	bnisr	dade-rɛ	patʳiki	ne-nam	nini	mumĕs	anam	asev	ntˢiŋi	namuɣe	rewori	kamumi[s]
mother	ai	řařna-ku	-niʔ	kañe-ᵑgu	nei	hñē	mama	mamu	-den	d|ena	titia-ŋ	ana-ᵑk	didi	sna[ri]	nana	yai	rietpu-	tina-k	inai	awini
mouth	boro-	čiŋo-ku	-walu	ŋo-ᵑgu	samo-	smo	roŋotu	sumu	rimta	-rimeta-	na-ŋar-ŋu	na-ᵐbeŋo-ᵑk	kapio	sbā[ri]	oŋo-k	efe-	βaβa-	βaβa-k	woro[do]	sore
name	wono	hitˢa-ku	gasɛn	kiaᵑgu	-nanɔ	ŋasan	eiŋo	fsona	snan	nu	na-ŋin	na-xesa-ᵑk	ŋasn|ɔ-	snon-snon	iso-ku	gadin	noɣse-	m̈ehɣa-k	nasano	sano
narrow	katui			tekaki	manapa sapɔ	kos	sisi	nakota	sesut	frifre-te		i-maᵑkukun		fios	ein			mokok		kotar
near	kefa		galis	kileβis	mirin	las	tata	dekin	nbabr	nəbəbabəre	mlatiŋ		las	fanam	βesesal	tanaten			awora	ariasi
neck	kanaŋ	wa-ku	-akɔ	koᵑgie-ᵑgu	geli- kabayo	wao	penawa	koku	drbon	dərbunə	na-pʷo-ŋu	na-xeloa-ᵑk	kɔkɔ	sasu[ri]	hiri-k	one-	ⁿdolo-	ᵐbulaɣahu-k	doa	rau
needle						paplaki		laim	raini					ret					rete	ret
new	vevoru		gɛlaɔ	wuru-βiu	galawaɔ	po	fou	pou	bunat	bunate	fau	βeβeu	galawau	babo	hetihao	popʷaro	ᵐbarᵐbar	moruᵐbar	woa	vavoru
night	diru	čočo	up	poŋiena	kadbat	dòram	tapo	bakomu	gisie	gənite	pʷoŋ	nalimariᵑku	op	rob	βoŋien	magagev	ᵐboᵐbor	utaᵐboŋ	yana	diru
no, not	kaha		-ga	marare	sapɔ	pene	čemra	tesin	=ti	fərati	etik		ɛnpa	ba	toβuol	afe			[wo]mo	moyar
nose	ube-	ŋalsu-ku	-samu	kunu-ᵑgu	senu-	guguo	eisu	usnu	wegur	-wegurə	na-ŋsu-ŋu	na-xunusu-ᵑk	kahñə-k	sno[ri]	fuli-ŋaso-ku	asigo-	nalsu-	ŋohəri-k	niabo	suo
old		ruai		wuru-mæruwa		leo	tuai	tua	nabrid		tuei	matu		-sar	hetimatu		βares	mo-tue		masa
other	siai		nsa	ⁿdolu	matfasayo	nēsa	čera	lomu		nenote	tetea	kaleβistile	tepa	wesĕ	keil	firisia	eskar		ohia	esi[a]
painful, sick	meninaŋ			meña	bihi	pisi	maki	culum	ndridn	dəri-d[ə]nə	msak	mesax	-pisi	duf	mesai	tari-ga-movi	rontˢ	mo-ros	totonako	pota
person/human being	inonturai		miʔ	yoru	matumolo	smat	taŋata	manusia	matu	matu	natamʷol	neβanuan	ñat	kaw|asa	mʷeatin	misier	tamlus-laβul	tamalo	nuŋgu	siniotu
rain	meta	usa	maiʔ	yuwa	dim	ulan	ua	ulan	sem	sie-mə	usa	na-us	miliɛ	mekĕm	ous	umun	nuso	na-uhe	dora	rama
rat	karu	hariβi		kawe	kalof	luf	kimo	luf	sfe	səfe	kusua	ne-xasu	safsɛf	robēfrar	asu	adombar	ɣirið	ɣariv̈	afuno	waŋgar
red	berika	xaxara	təlami	piliβili	mame	kakalā	toura	mikoat	wams	waməse	mila	bisiᵐbis	kasñala	rik	βihili	kasumbe	mə-ᵑgar	mo-m̈em̈e	regharo	urar
right	moya	lim̈a marua-ku	pa-lfi	mərua	palafi	wela	matau	awoyan	tu	tu	matua	ni-matu	palpal|cu	kaku	matu	pararare	ančeⁿd	matu	ghanano	watan
road/path	raŋ	sala	alin	moroᵑge	tag	laliŋ	retu	lolan	rarn	radeni	na-pua	na-pisal	yefen	nĕyan	sise	rarin	sal	na-hal	rarado	ran
root	newa	xuari	kɛtɛ	pias	kawatɔ	wā	aka	wolu	war	warkrikre	na-koa	ne-xarxete	ka|wao	rarĕs	lite	dare	ɣaran	xoarnaneɣe	wai	war
rope	wai	asi	waliʔ	kilika	wili	wala	wawa	kapiloan	wara	wara	n-tali	ne-xau	wala	rabrab	βiao	warir	βuɣes	nueh	sera	vavi
rotten	piso		makam	menunu	fase	pepē	popo	puík	rumir	numi-rə	mata	i-mom	puno	pokĕm	eβu	miaʔo	nuᵐbuɣ	mo-momo	bu	pasua
salt	ai	rasi	gasi		lesen	gasi	čiafi	myasing	terir	te			gasi	masĕn	atas	sire|r				sasi-tarai
sand	ninuai	ɔnon	in	ñ-one	lɛn	ñiñēn	one	minyana	enjefu	inneñevo	na-kirkirkik	na-ᵐbion	miñen	[ka]yen	βoien	ain	monβusβus	taᵐbaŋ-naon	nafa	rubua[n]
sea	ravana	rasi	masin	si	wulut	olat	tai	wolat	werfun	were fune	n-tas	ni-tas	galgelet	swān	a-tas	fayoret	tas	ne-teh	rau	rau
sharp	reisa		talim	ma·li	mañanam	mdalim	emtakoi	magamin	mdedan	matadane	mkali	i-kan	myaŋan	sār	kan	mijarum	ɣat	mo-βor	kamuko	rebuo
short	tana		kabu		kup	kokopē		katobat	fut	kəfutə			kapoto	kwaïmba		tam...			kamuto	tanam
shoulder	boyawa	pili-ku			paŋkadiɔ	maglo	pamu	paposu	fra fu	fəravo	n-pap-ŋu	ne-ᵐbatxuβeso-ᵑk	kafalɔ	radar[si]	fatisi-k	aru	ᵐbili-	p̈erp̈ari-		varabo
shy, ashamed						mai		moi	rit dir ti					ma					niamaro	mamaya
skin	rerawa	huri-ku	-ani	kuluyeβe-ᵑgu	kaino	gico	kiri	kulit	rit	-rite	n-ŋal-ŋu	na-xurxeᵐbe-ᵑk	kaini	rib	hiliβe-k	urut	ɣuruɣuru	βulβulu-k	ru	rawa
sky	rora		lanit		nalowo	laŋit	raŋi	langit	ragt	ragətə	n-malβa	ma-mesaβ	ŋa	naŋe	teilaŋ	ragit	laŋet	p̈akaran	naniŋgi	rora
small	ketui	řaxetexɛte	gɛlɔm	tekaki	kamiaran	kòrikòri	sisi	wai	ntü	kosi	kik	kekerex	kali	baba	haβiβi	natu	ntˢontˢoron	mo-βelele	boma	katu
smoke	rirau	asu	kapyas	kapi miu	kaplasɔ	mamayás	ausafi	nyas	bob	ɔbə	n-asu	ne-ᵐbasu-xaᵐb	may|as	ās	eas	evas	βas-ɣoᵐbɣ	n-eh naɣaᵐb	[awu]asi	tup
snake	tawai	mar̃a	kɔ-k	mʷara	kok	gu	ekatutu	bau	sawat	yaka	mʷata	na-mat	bai	ikak	tetal	gor	nantˢntaraᵐp	na-mʷat	ghoro	korow
spider	mansai				kapanɛ	kopolaw		tapilou	baru	rara			p|law	kabokakin		orier			rofaiwino	apopa
star	avaha	βiru sarasara	taun	βerue	kalamo	aitotaf	fatu	batól	tur	turə	masei	na-meso	cou	mak	hitu	atere	ðit	na-v̈ut	siwerere	siverere
stick/wood	ai		a	čeki	ai	ai	rakau	tokun	e-	e	n-kas	na-xai	kai	ai	maβuliai	a	mantˢ	ne-ɣe	ai	ai
stone	kamiai	sule	pa	kəla-βeru	ka|pat	pāt	fatu	lai	kami	kami	βatu	ne-βat	ka|pat	keru	ahat	puat	ᵐbontˢinðað	na-v̈at	wai	rebuki
tail	amandau	βiči	ndəkamu	siᵑgiena-kuli	kaluo	golo	siku	walu	su	su	na-pu-n	na-ᵑkele-n	kahñu	pura[ri]	aβuki-n	raʔur	βiⁿd-ne	βelaɣaune	fera	kapupui
that	manana		ifɛrɛ	naŋaru	titanɛ	ca	čera	tijá		mavi	teŋe		tea	buro	koa keiek	tuoto			aimbeani	nina
thatch/roof	antarau				sane	yataf		yotaf	atif-	ativrɔ			yataf	os		erar			aka	nandau
they	ea	nirarua	sia	lala čua	abana	sil[e]	karaua	si	ir	ire	narue	kalito	sia	si	keilu	sire	ri	inire	ki	si|[at]
thick	tehuba	βonoxo	mtalɔ	merorolu	matɔlɔ	kapcut	matoru	kamudi	sarf	sarfə	matolu	i-metoretor	kapcit	kpor	matetel			mo-m̈atol		batoyar
thin	simbena	naβinuβinu	dasis	meniniβi	maglegef	mlifis	manfiñi	manifis	bnifn	bə|nənifə|ne	manfenfe	i-maniβeniβ	kabalal	mbrĕkip	muko			mo-m̈eniβniβ	tako	minis
this	nini		inɛrɛ	nani	t|inɛ	taie	čenei	tajini	-ini	not|ini	tena		tɛnɛ	ine	koa	tieti			maia	nini
thou	wau	ᵑgo	awa	niᵑga	awa	au	koe	au	o	o	naŋ	kaiuᵑku	auya	au	keik	umbua	ⁿdyo	iniɣo	auo	au
thunder	kadidu	piti	alɔʔ	ᵐbolulu	lɔlɔ	dub	fačiri	dimdím	kararu	kərəru	tfai	na-ᵐbelurur	lɔlɔ	kadadu	βou lul	dudum	ᵐbriŋ	na-kur	dora-ruru	kuru|ya
to bite	i-kiri	haria	lis	-karia	-awut	oŋ	mauča	pakat	-gor	-mə|gor	katia	-xati	-kɔŋɔt	ar|k	-ati	-ret	ⁿdere	-xati	afano	karip(e)
to blow	siai		nus	-yuia	-auf	uf[o]	fia	ufu	uf	nufə	sia	-βuβ	nuf	wuf	-uhi	sera...	sis	-iβi	ufa	bub[u]
to breathe	aiou			-mamaŋa	nafas	fawa	musaki	manou	sagwei	-me|sagwe	marmar	-nesaruβ	-fa|ñawaya	mnasu	-seh	binapes	ŋorpot	-maᵐb	sasi	surap
to burn		koru		-sikapia		mgini	tunia	slai	tün		tkonia	-paŋ		kun	-niti		sul	-huli	sano	kair
to buy	i-vori				-sili	gon		tua	mgür	-mə|gu-rə			-tukal	kobĕs		-taʔun			owuko	vori
to chew						moŋ		hamóm	m-gor					mam					mama	mam
to choose	yi-riri				-fihi	fisan				-bi-rə			fisa	sra		-pili			maŋgura	iri
to climb	-utai				-sa	gewit		sapák	iet	mietə			-sa	aber		u-sua			esi	katar
to come	-ma	m̈a	-ma	-βirimi	mata	làfa	mai	wom	ma	-ma	nei	-ᵑgomai	-eo pelima	rāma	-amai	-ma	sna	-m̈e	rama	ra|ma
to cook	i-nunu		-biap	meno	-blap	[n]dak	komo	soang	tün	-matune	maso	i-manuᵑku	-fafɔn	[fa]fnap	mas	-fo...	naⁿd	monp̈er	baro	kundur
to count	i-eto		-wanɔs	-wuluia	-awuf	etaŋ	taua	hayofan	nif	-efə	βeβe	-peruŋ	-tɔŋɔ	kor	-hulhuli	uferam	ⁿduⁿduŋ	-v̈ev̈e		
to cry	i-sai	řaŋi	-tanis	-saŋi	-tinis	taŋis	taŋi	tangis	tag	-me|tage	kai	-taŋ	-tenis	kanĕs	-amis	-tagis	ŋar	-taŋ	[k]aniko	sai[se]
to cut, hack	i-kutui	rai	-wɛʔ	-teia	-kut	tekis	saua	tipal	ntifn	-ma|totə	taea	-tai	-aspei	karuk	-tei	orar	ntˢiᵐp	-tei	aro	tara
to die, be dead	reha	m̈are	ma-ʔ	-mere	-mat	mat	mače	mot	-mat	-matə	mat	-mat	-mat	mār	-mat	-mat	nat	-m̈at	fero	voru
to dig	i-sarai	xeli	-kail	-kilia	-kelɛ	tiu	keria	ólai	gar	mə|garə	kili	-xeri	-alai	er	-ili	-ʔe	βeβet	-ɣeli	ei	sarai
to dream	-miai				-mñal	mafŋél		bibúf	n-ɪn si	ginə-mesi			masŋel	mafu		[ga-vaʔanev] sinin...			anina	ena-mia
to drink	i-unu	inu	-nim	-munia	-inim	dom	ñimia	imin	in	-gin[e]	munu	-müni	-dom	inĕm	-muni	-umun	ntˢin	-muni	una	unu[m]
to eat	i-ampi	hania	-aʔ	-kina·na	-apon	ān	kai	fon	ga	-ga	fam	-xani	-anan	ān	-ani	-madenan	ɣanɣen	-ɣenɣan	ano	api
to fall	i-tawa		-mdɔl	-čoru	-tak	pawil	to	mtat	mtɪt	-mə|titi	roa	-tex	-sobi	mĕmgokĕf	-mot		ᵐben	-sov̈	mo[ko]	tawa
to fear	i-matai	m̈araxu	-msi	-mira	-mtat	am-cait	mtaku	kiak	mtat	-mta-t|e	pʷlak	-metax	-mtait	mkāk	-metau	gamberad	ma-nataɣut	-m̈ataɣ	akako	matai(t)
to flow	deda		-apis	-mio	cag	yoli	tafe	gasi	srswir	-nevovo	sara	-leβ	nderer	ki	-(mu)we		m-alyel	-harhar	mo	dira
to fly	sifo	aβu	napɔ	-kaka	-obo	opa	rere	opa	sur	-su-re	ri	-melax	-opo	rob	-ka	i-tiʔir	sal	-βir	rorako	sapop
to grow						tub		tub	sub					sur					uko	siwara
to hear	i-tara-hu oa	roŋo	-fɔ|lɔŋɔ	-čoŋoia	-junu	loŋa	roŋona	longa	-nogr	-ba|nogre-	roŋo	-seseloŋ	lɔŋɔ	mnaf	-loŋi	-tanem	ruᵑgun	-roŋe	nata	diawa
to hide						gogan		bakapók	-funi					yofĕk					ame	aniwar(i)
to hit	i-tuhiŋ	nakia	-təbɛlɛ	-wea	esbagal	pun	či	bolam	dbe	metebe	pʷatia	-βosi	-aswa	rab	-wasi	-pʷaper	βentˢeβentˢe	-lohu	fama	rora
